coname,gvkey,fyear,cusip,exchange,ticker,datadate,fyr,cik,date,formtype,datefiled,filepath
SENSIENT TECHNOLOGIES CORP,11012,2018,81725T10,NYS,SXT,31-Dec-18,12,310142,31-Dec-18,DEF 14A,03/08/19,https://www.sec.gov/Archives/edgar/data/310142/0001140361-19-004570.txt
SENSIENT TECHNOLOGIES CORP,11012,2019,81725T10,NYS,SXT,31-Dec-19,12,310142,31-Dec-19,DEF 14A,03/06/20,https://www.sec.gov/Archives/edgar/data/310142/0001140361-20-005059.txt
MERCK & CO,7257,2017,58933Y10,NYS,MRK,31-Dec-17,12,310158,31-Dec-17,DEF 14A,04/09/18,https://www.sec.gov/Archives/edgar/data/310158/0001308179-18-000164.txt
MERCK & CO,7257,2018,58933Y10,NYS,MRK,31-Dec-18,12,310158,31-Dec-18,DEF 14A,04/08/19,https://www.sec.gov/Archives/edgar/data/310158/0001140361-19-006720.txt
MERCK & CO,7257,2019,58933Y10,NYS,MRK,31-Dec-19,12,310158,31-Dec-19,DEF 14A,04/06/20,https://www.sec.gov/Archives/edgar/data/310158/0001193125-20-099563.txt
STANDEX INTERNATIONAL CORP,10008,2017,85423110,NYS,SXI,30-Jun-17,6,310354,30-Jun-17,DEF 14A,9/14/17,https://www.sec.gov/Archives/edgar/data/310354/0000310354-17-000028.txt
STANDEX INTERNATIONAL CORP,10008,2018,85423110,NYS,SXI,30-Jun-18,6,310354,30-Jun-18,DEF 14A,09/12/18,https://www.sec.gov/Archives/edgar/data/310354/0001193125-18-271447.txt
STANDEX INTERNATIONAL CORP,10008,2019,85423110,NYS,SXI,30-Jun-19,6,310354,30-Jun-19,DEF 14A,09/11/19,https://www.sec.gov/Archives/edgar/data/310354/0001193125-19-242632.txt
STANDEX INTERNATIONAL CORP,10008,2020,85423110,NYS,SXI,30-Jun-20,6,310354,30-Jun-20,DEF 14A,09/08/20,https://www.sec.gov/Archives/edgar/data/310354/0001193125-20-240683.txt
MICROSEMI CORP,7346,2017,59513710,NAS,MSCC,30-Sep-17,9,310568,30-Sep-17,DEF 14A,12/20/17,https://www.sec.gov/Archives/edgar/data/310568/0000310568-17-000241.txt
STRYKER CORP,10115,2017,86366710,NYS,SYK,31-Dec-17,12,310764,31-Dec-17,DEF 14A,3/21/18,https://www.sec.gov/Archives/edgar/data/310764/0000310764-18-000065.txt
STRYKER CORP,10115,2018,86366710,NYS,SYK,31-Dec-18,12,310764,31-Dec-18,DEF 14A,3/20/19,https://www.sec.gov/Archives/edgar/data/310764/0000310764-19-000045.txt
STRYKER CORP,10115,2019,86366710,NYS,SYK,31-Dec-19,12,310764,31-Dec-19,DEF 14A,3/24/20,https://www.sec.gov/Archives/edgar/data/310764/0000310764-20-000044.txt
WESTAMERICA BANCORPORATION,14253,2017,95709010,NAS,WABC,31-Dec-17,12,311094,31-Dec-17,DEF 14A,03/12/18,https://www.sec.gov/Archives/edgar/data/311094/0001174947-18-000349.txt
WESTAMERICA BANCORPORATION,14253,2018,95709010,NAS,WABC,31-Dec-18,12,311094,31-Dec-18,DEF 14A,03/11/19,https://www.sec.gov/Archives/edgar/data/311094/0001174947-19-000353.txt
WESTAMERICA BANCORPORATION,14253,2019,95709010,NAS,WABC,31-Dec-19,12,311094,31-Dec-19,DEF 14A,03/09/20,https://www.sec.gov/Archives/edgar/data/311094/0001174947-20-000330.txt
HAEMONETICS CORP,24021,2017,40502410,NYS,HAE,31-Mar-18,3,313143,31-Mar-17,DEF 14A,06/12/17,https://www.sec.gov/Archives/edgar/data/313143/0000313143-17-000025.txt
HAEMONETICS CORP,24021,2018,40502410,NYS,HAE,31-Mar-19,3,313143,31-Mar-18,DEF 14A,06/12/18,https://www.sec.gov/Archives/edgar/data/313143/0000313143-18-000033.txt
HAEMONETICS CORP,24021,2019,40502410,NYS,HAE,31-Mar-20,3,313143,31-Mar-19,DEF 14A,06/12/19,https://www.sec.gov/Archives/edgar/data/313143/0000313143-19-000030.txt
DANAHER CORP,3735,2017,23585110,NYS,DHR,31-Dec-17,12,313616,31-Dec-17,DEF 14A,3/28/18,https://www.sec.gov/Archives/edgar/data/313616/0001193125-18-097976.txt
DANAHER CORP,3735,2018,23585110,NYS,DHR,31-Dec-18,12,313616,31-Dec-18,DEF 14A,3/27/19,https://www.sec.gov/Archives/edgar/data/313616/0001193125-19-087316.txt
DANAHER CORP,3735,2019,23585110,NYS,DHR,31-Dec-19,12,313616,31-Dec-19,DEF 14A,3/25/20,https://www.sec.gov/Archives/edgar/data/313616/0001193125-20-084393.txt
CHURCH & DWIGHT INC,3026,2017,17134010,NYS,CHD,31-Dec-17,12,313927,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/313927/0001193125-18-093066.txt
CHURCH & DWIGHT INC,3026,2018,17134010,NYS,CHD,31-Dec-18,12,313927,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/313927/0001193125-19-083523.txt
CHURCH & DWIGHT INC,3026,2019,17134010,NYS,CHD,31-Dec-19,12,313927,31-Dec-19,DEF 14A,3/20/20,https://www.sec.gov/Archives/edgar/data/313927/0001193125-20-080717.txt
VALARIS PLC,2270,2017,G9402V10,OTH,VALPQ,31-Dec-17,12,314808,31-Dec-17,DEF 14A,3/30/18,https://www.sec.gov/Archives/edgar/data/314808/0000314808-18-000060.txt
VALARIS PLC,2270,2018,G9402V10,OTH,VALPQ,31-Dec-18,12,314808,31-Dec-18,DEF 14A,3/29/19,https://www.sec.gov/Archives/edgar/data/314808/0000314808-19-000069.txt
VALARIS PLC,2270,2019,G9402V10,OTH,VALPQ,31-Dec-19,12,314808,31-Dec-19,DEF 14A,4/27/20,https://www.sec.gov/Archives/edgar/data/314808/0000314808-20-000059.txt
DEERE & CO,3835,2017,24419910,NYS,DE,31-Oct-17,10,315189,31-Oct-17,DEF 14A,01/12/18,https://www.sec.gov/Archives/edgar/data/315189/0001206774-18-000081.txt
DEERE & CO,3835,2018,24419910,NYS,DE,31-Oct-18,10,315189,31-Oct-18,DEF 14A,01/11/19,https://www.sec.gov/Archives/edgar/data/315189/0001206774-19-000056.txt
DEERE & CO,3835,2019,24419910,NYS,DE,31-Oct-19,10,315189,31-Oct-19,DEF 14A,01/10/20,https://www.sec.gov/Archives/edgar/data/315189/0001206774-20-000044.txt
DEERE & CO,3835,2020,24419910,NYS,DE,31-Oct-20,10,315189,31-Oct-20,DEF 14A,01/08/21,https://www.sec.gov/Archives/edgar/data/315189/0001206774-21-000055.txt
ROBERT HALF INTL INC,2312,2017,77032310,NYS,RHI,31-Dec-17,12,315213,31-Dec-17,DEF 14A,4/18/18,https://www.sec.gov/Archives/edgar/data/315213/0001193125-18-120834.txt
ROBERT HALF INTL INC,2312,2018,77032310,NYS,RHI,31-Dec-18,12,315213,31-Dec-18,DEF 14A,4/18/19,https://www.sec.gov/Archives/edgar/data/315213/0001193125-19-110466.txt
ROBERT HALF INTL INC,2312,2019,77032310,NYS,RHI,31-Dec-19,12,315213,31-Dec-19,DEF 14A,4/15/20,https://www.sec.gov/Archives/edgar/data/315213/0001193125-20-107862.txt
INTL BANCSHARES CORP,22086,2017,45904410,NAS,IBOC,31-Dec-17,12,315709,31-Dec-17,DEF 14A,4/16/18,https://www.sec.gov/Archives/edgar/data/315709/0001047469-18-002838.txt
INTL BANCSHARES CORP,22086,2018,45904410,NAS,IBOC,31-Dec-18,12,315709,31-Dec-18,DEF 14A,4/15/19,https://www.sec.gov/Archives/edgar/data/315709/0001558370-19-002989.txt
INTL BANCSHARES CORP,22086,2019,45904410,NAS,IBOC,31-Dec-19,12,315709,31-Dec-19,DEF 14A,4/17/20,https://www.sec.gov/Archives/edgar/data/315709/0001558370-20-003984.txt
RANGE RESOURCES CORP,6788,2017,75281A10,NYS,RRC,31-Dec-17,12,315852,31-Dec-17,DEF 14A,04/06/18,https://www.sec.gov/Archives/edgar/data/315852/0001308179-18-000145.txt
RANGE RESOURCES CORP,6788,2018,75281A10,NYS,RRC,31-Dec-18,12,315852,31-Dec-18,DEF 14A,04/05/19,https://www.sec.gov/Archives/edgar/data/315852/0001308179-19-000116.txt
RANGE RESOURCES CORP,6788,2019,75281A10,NYS,RRC,31-Dec-19,12,315852,31-Dec-19,DEF 14A,04/03/20,https://www.sec.gov/Archives/edgar/data/315852/0001308179-20-000133.txt
ENZO BIOCHEM INC,4418,2017,29410010,NYS,ENZ,31-Jul-17,7,316253,31-Jul-17,DEF 14A,11/22/17,https://www.sec.gov/Archives/edgar/data/316253/0000930413-17-003858.txt
ENZO BIOCHEM INC,4418,2018,29410010,NYS,ENZ,31-Jul-18,7,316253,31-Jul-18,DEF 14A,11/21/18,https://www.sec.gov/Archives/edgar/data/316253/0000930413-18-003409.txt
ENZO BIOCHEM INC,4418,2020,29410010,NYS,ENZ,31-Jul-20,7,316253,31-Jul-20,DEF 14A,11/27/20,https://www.sec.gov/Archives/edgar/data/316253/0001213900-20-039593.txt
SCHWAB (CHARLES) CORP,13988,2017,80851310,NYS,SCHW,31-Dec-17,12,316709,31-Dec-17,DEF 14A,3/30/18,https://www.sec.gov/Archives/edgar/data/316709/0001193125-18-103068.txt
SCHWAB (CHARLES) CORP,13988,2018,80851310,NYS,SCHW,31-Dec-18,12,316709,31-Dec-18,DEF 14A,3/29/19,https://www.sec.gov/Archives/edgar/data/316709/0001193125-19-092204.txt
SCHWAB (CHARLES) CORP,13988,2019,80851310,NYS,SCHW,31-Dec-19,12,316709,31-Dec-19,DEF 14A,3/31/20,https://www.sec.gov/Archives/edgar/data/316709/0001193125-20-092483.txt
COCA COLA CONSOLIDATED INC,3138,2017,19109810,NAS,COKE,31-Dec-17,12,317540,31-Dec-17,DEF 14A,3/26/18,https://www.sec.gov/Archives/edgar/data/317540/0001193125-18-095093.txt
COCA COLA CONSOLIDATED INC,3138,2018,19109810,NAS,COKE,31-Dec-18,12,317540,31-Dec-18,DEF 14A,3/25/19,https://www.sec.gov/Archives/edgar/data/317540/0001193125-19-085345.txt
COCA COLA CONSOLIDATED INC,3138,2019,19109810,NAS,COKE,31-Dec-19,12,317540,31-Dec-19,DEF 14A,3/23/20,https://www.sec.gov/Archives/edgar/data/317540/0001193125-20-082564.txt
AMGEN INC,1602,2017,3116210,NAS,AMGN,31-Dec-17,12,318154,31-Dec-17,DEF 14A,04/11/18,https://www.sec.gov/Archives/edgar/data/318154/0001193125-18-114235.txt
AMGEN INC,1602,2018,3116210,NAS,AMGN,31-Dec-18,12,318154,31-Dec-18,DEF 14A,04/08/19,https://www.sec.gov/Archives/edgar/data/318154/0001193125-19-100704.txt
AMGEN INC,1602,2019,3116210,NAS,AMGN,31-Dec-19,12,318154,31-Dec-19,DEF 14A,04/07/20,https://www.sec.gov/Archives/edgar/data/318154/0001193125-20-100447.txt
TEAM INC,10353,2017,87815510,NYS,TISI,31-Dec-17,12,318833,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/318833/0000318833-18-000025.txt
TEAM INC,10353,2018,87815510,NYS,TISI,31-Dec-18,12,318833,31-Dec-18,DEF 14A,04/11/19,https://www.sec.gov/Archives/edgar/data/318833/0000318833-19-000020.txt
TEAM INC,10353,2019,87815510,NYS,TISI,31-Dec-19,12,318833,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/318833/0000318833-20-000034.txt
KLA CORP,6304,2017,48248010,NAS,KLAC,30-Jun-17,6,319201,30-Jun-17,DEF 14A,9/21/17,https://www.sec.gov/Archives/edgar/data/319201/0001437749-17-016184.txt
KLA CORP,6304,2018,48248010,NAS,KLAC,30-Jun-18,6,319201,30-Jun-18,DEF 14A,9/28/18,https://www.sec.gov/Archives/edgar/data/319201/0001193125-18-287447.txt
KLA CORP,6304,2019,48248010,NAS,KLAC,30-Jun-19,6,319201,30-Jun-19,DEF 14A,9/20/19,https://www.sec.gov/Archives/edgar/data/319201/0001193125-19-250803.txt
KLA CORP,6304,2020,48248010,NAS,KLAC,30-Jun-20,6,319201,30-Jun-20,DEF 14A,9/23/20,https://www.sec.gov/Archives/edgar/data/319201/0001104659-20-107811.txt
NIKE INC  -CL B,7906,2017,65410610,NYS,NKE,31-May-18,5,320187,31-May-17,DEF 14A,7/25/17,https://www.sec.gov/Archives/edgar/data/320187/0000320187-17-000127.txt
NIKE INC  -CL B,7906,2018,65410610,NYS,NKE,31-May-19,5,320187,31-May-18,DEF 14A,7/25/18,https://www.sec.gov/Archives/edgar/data/320187/0000320187-18-000144.txt
NIKE INC  -CL B,7906,2019,65410610,NYS,NKE,31-May-20,5,320187,31-May-19,DEF 14A,7/23/19,https://www.sec.gov/Archives/edgar/data/320187/0000320187-19-000053.txt
APPLE INC,1690,2017,3783310,NAS,AAPL,30-Sep-17,9,320193,30-Sep-17,DEF 14A,12/27/17,https://www.sec.gov/Archives/edgar/data/320193/0001193125-17-380130.txt
APPLE INC,1690,2018,3783310,NAS,AAPL,30-Sep-18,9,320193,30-Sep-18,DEF 14A,01/08/19,https://www.sec.gov/Archives/edgar/data/320193/0001193125-19-004664.txt
APPLE INC,1690,2019,3783310,NAS,AAPL,30-Sep-19,9,320193,30-Sep-19,DEF 14A,01/03/20,https://www.sec.gov/Archives/edgar/data/320193/0001193125-20-001450.txt
APPLE INC,1690,2020,3783310,NAS,AAPL,30-Sep-20,9,320193,30-Sep-20,DEF 14A,01/05/21,https://www.sec.gov/Archives/edgar/data/320193/0001193125-21-001987.txt
GLOBE LIFE INC,10614,2017,3.80E+14,NYS,GL,31-Dec-17,12,320335,31-Dec-17,DEF 14A,3/19/18,https://www.sec.gov/Archives/edgar/data/320335/0000320335-18-000010.txt
GLOBE LIFE INC,10614,2018,3.80E+14,NYS,GL,31-Dec-18,12,320335,31-Dec-18,DEF 14A,3/18/19,https://www.sec.gov/Archives/edgar/data/320335/0000320335-19-000011.txt
GLOBE LIFE INC,10614,2019,3.80E+14,NYS,GL,31-Dec-19,12,320335,31-Dec-19,DEF 14A,3/19/20,https://www.sec.gov/Archives/edgar/data/320335/0000320335-20-000013.txt
PIONEER ENERGY SERVICES CORP,9835,2017,72366410,OTH,PESXQ,31-Dec-17,12,320575,31-Dec-17,DEF 14A,4/17/18,https://www.sec.gov/Archives/edgar/data/320575/0000320575-18-000018.txt
PIONEER ENERGY SERVICES CORP,9835,2018,72366410,OTH,PESXQ,31-Dec-18,12,320575,31-Dec-18,DEF 14A,4/16/19,https://www.sec.gov/Archives/edgar/data/320575/0000320575-19-000012.txt
AUTONATION INC,9063,2017,05329W10,NYS,AN,31-Dec-17,12,350698,31-Dec-17,DEF 14A,03/06/18,https://www.sec.gov/Archives/edgar/data/350698/0000350698-18-000073.txt
AUTONATION INC,9063,2018,05329W10,NYS,AN,31-Dec-18,12,350698,31-Dec-18,DEF 14A,03/06/19,https://www.sec.gov/Archives/edgar/data/350698/0000350698-19-000060.txt
AUTONATION INC,9063,2019,05329W10,NYS,AN,31-Dec-19,12,350698,31-Dec-19,DEF 14A,03/11/20,https://www.sec.gov/Archives/edgar/data/350698/0000350698-20-000053.txt
SEI INVESTMENTS CO,9317,2017,78411710,NAS,SEIC,31-Dec-17,12,350894,31-Dec-17,DEF 14A,04/10/18,https://www.sec.gov/Archives/edgar/data/350894/0000350894-18-000029.txt
SEI INVESTMENTS CO,9317,2018,78411710,NAS,SEIC,31-Dec-18,12,350894,31-Dec-18,DEF 14A,4/17/19,https://www.sec.gov/Archives/edgar/data/350894/0000350894-19-000021.txt
SEI INVESTMENTS CO,9317,2019,78411710,NAS,SEIC,31-Dec-19,12,350894,31-Dec-19,DEF 14A,4/23/20,https://www.sec.gov/Archives/edgar/data/350894/0000350894-20-000023.txt
AMERIS BANCORP,30222,2017,03076K10,NAS,ABCB,31-Dec-17,12,351569,31-Dec-17,DEF 14A,04/02/18,https://www.sec.gov/Archives/edgar/data/351569/0001144204-18-018610.txt
AMERIS BANCORP,30222,2018,03076K10,NAS,ABCB,31-Dec-18,12,351569,31-Dec-18,DEF 14A,04/01/19,https://www.sec.gov/Archives/edgar/data/351569/0001144204-19-017421.txt
AMERIS BANCORP,30222,2019,03076K10,NAS,ABCB,31-Dec-19,12,351569,31-Dec-19,DEF 14A,4/27/20,https://www.sec.gov/Archives/edgar/data/351569/0001104659-20-051590.txt
SILVERBOW RESOURCES INC,10221,2017,82836G10,NYS,SBOW,31-Dec-17,12,351817,31-Dec-17,DEF 14A,04/03/18,https://www.sec.gov/Archives/edgar/data/351817/0001140361-18-016557.txt
SILVERBOW RESOURCES INC,10221,2018,82836G10,NYS,SBOW,31-Dec-18,12,351817,31-Dec-18,DEF 14A,4/15/19,https://www.sec.gov/Archives/edgar/data/351817/0001477932-19-001692.txt
SILVERBOW RESOURCES INC,10221,2019,82836G10,NYS,SBOW,31-Dec-19,12,351817,31-Dec-19,DEF 14A,04/06/20,https://www.sec.gov/Archives/edgar/data/351817/0000351817-20-000008.txt
ALLIANT ENERGY CORP,11554,2017,1880210,NAS,LNT,31-Dec-17,12,352541,31-Dec-17,DEF 14A,04/09/18,https://www.sec.gov/Archives/edgar/data/352541/0000352541-18-000038.txt
ALLIANT ENERGY CORP,11554,2018,1880210,NAS,LNT,31-Dec-18,12,352541,31-Dec-18,DEF 14A,04/08/19,https://www.sec.gov/Archives/edgar/data/352541/0000352541-19-000044.txt
ALLIANT ENERGY CORP,11554,2019,1880210,NAS,LNT,31-Dec-19,12,352541,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/352541/0000352541-20-000047.txt
UNIVERSAL HEALTH SVCS INC,11032,2017,91390310,NYS,UHS,31-Dec-17,12,352915,31-Dec-17,DEF 14A,04/05/18,https://www.sec.gov/Archives/edgar/data/352915/0001564590-18-007630.txt
UNIVERSAL HEALTH SVCS INC,11032,2018,91390310,NYS,UHS,31-Dec-18,12,352915,31-Dec-18,DEF 14A,04/04/19,https://www.sec.gov/Archives/edgar/data/352915/0001564590-19-010754.txt
UNIVERSAL HEALTH SVCS INC,11032,2019,91390310,NYS,UHS,31-Dec-19,12,352915,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/352915/0001564590-20-015986.txt
AEGION CORP,5978,2017,00770F10,NAS,AEGN,31-Dec-17,12,353020,31-Dec-17,DEF 14A,3/16/18,https://www.sec.gov/Archives/edgar/data/353020/0001437749-18-004769.txt
AEGION CORP,5978,2018,00770F10,NAS,AEGN,31-Dec-18,12,353020,31-Dec-18,DEF 14A,03/06/19,https://www.sec.gov/Archives/edgar/data/353020/0001437749-19-004193.txt
AEGION CORP,5978,2019,00770F10,NAS,AEGN,31-Dec-19,12,353020,31-Dec-19,DEF 14A,03/06/20,https://www.sec.gov/Archives/edgar/data/353020/0001437749-20-004508.txt
QUIDEL CORP,7526,2017,74838J10,NAS,QDEL,31-Dec-17,12,353569,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/353569/0000353569-18-000031.txt
QUIDEL CORP,7526,2018,74838J10,NAS,QDEL,31-Dec-18,12,353569,31-Dec-18,DEF 14A,04/11/19,https://www.sec.gov/Archives/edgar/data/353569/0000353569-19-000018.txt
QUIDEL CORP,7526,2019,74838J10,NAS,QDEL,31-Dec-19,12,353569,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/353569/0000353569-20-000021.txt
ARTHUR J GALLAGHER & CO,4973,2017,36357610,NYS,AJG,31-Dec-17,12,354190,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/354190/0001193125-18-094143.txt
ARTHUR J GALLAGHER & CO,4973,2018,36357610,NYS,AJG,31-Dec-18,12,354190,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/354190/0001193125-19-083672.txt
ARTHUR J GALLAGHER & CO,4973,2019,36357610,NYS,AJG,31-Dec-19,12,354190,31-Dec-19,DEF 14A,3/23/20,https://www.sec.gov/Archives/edgar/data/354190/0001193125-20-082511.txt
CVB FINANCIAL CORP,20019,2017,12660010,NAS,CVBF,31-Dec-17,12,354647,31-Dec-17,DEF 14A,04/04/18,https://www.sec.gov/Archives/edgar/data/354647/0001193125-18-107251.txt
CVB FINANCIAL CORP,20019,2018,12660010,NAS,CVBF,31-Dec-18,12,354647,31-Dec-18,DEF 14A,04/04/19,https://www.sec.gov/Archives/edgar/data/354647/0001193125-19-098002.txt
CVB FINANCIAL CORP,20019,2019,12660010,NAS,CVBF,31-Dec-19,12,354647,31-Dec-19,DEF 14A,04/06/20,https://www.sec.gov/Archives/edgar/data/354647/0001193125-20-099284.txt
HAWAIIAN ELECTRIC INDS,5526,2017,41987010,NYS,HE,31-Dec-17,12,354707,31-Dec-17,DEF 14A,3/28/18,https://www.sec.gov/Archives/edgar/data/354707/0001047469-18-002221.txt
HAWAIIAN ELECTRIC INDS,5526,2018,41987010,NYS,HE,31-Dec-18,12,354707,31-Dec-18,DEF 14A,3/25/19,https://www.sec.gov/Archives/edgar/data/354707/0001047469-19-001559.txt
HAWAIIAN ELECTRIC INDS,5526,2019,41987010,NYS,HE,31-Dec-19,12,354707,31-Dec-19,DEF 14A,3/26/20,https://www.sec.gov/Archives/edgar/data/354707/0001047469-20-001776.txt
FLIR SYSTEMS INC,28477,2017,30244510,NAS,FLIR,31-Dec-17,12,354908,31-Dec-17,DEF 14A,03/09/18,https://www.sec.gov/Archives/edgar/data/354908/0001193125-18-077317.txt
FLIR SYSTEMS INC,28477,2018,30244510,NAS,FLIR,31-Dec-18,12,354908,31-Dec-18,DEF 14A,03/08/19,https://www.sec.gov/Archives/edgar/data/354908/0001193125-19-069295.txt
FLIR SYSTEMS INC,28477,2019,30244510,NAS,FLIR,31-Dec-19,12,354908,31-Dec-19,DEF 14A,03/11/20,https://www.sec.gov/Archives/edgar/data/354908/0000354908-20-000017.txt
HOME DEPOT INC,5680,2017,43707610,NYS,HD,31-Jan-18,1,354950,31-Jan-17,DEF 14A,04/03/17,https://www.sec.gov/Archives/edgar/data/354950/0001193125-17-108511.txt
HOME DEPOT INC,5680,2018,43707610,NYS,HD,31-Jan-19,1,354950,31-Jan-18,DEF 14A,04/02/18,https://www.sec.gov/Archives/edgar/data/354950/0001193125-18-104990.txt
HOME DEPOT INC,5680,2019,43707610,NYS,HD,31-Jan-20,1,354950,31-Jan-19,DEF 14A,04/08/19,https://www.sec.gov/Archives/edgar/data/354950/0000354950-19-000014.txt
SHENANDOAH TELECOMMUN CO,9664,2017,82312B10,NAS,SHEN,31-Dec-17,12,354963,31-Dec-17,DEF 14A,3/15/18,https://www.sec.gov/Archives/edgar/data/354963/0001171843-18-002000.txt
SHENANDOAH TELECOMMUN CO,9664,2018,82312B10,NAS,SHEN,31-Dec-18,12,354963,31-Dec-18,DEF 14A,03/07/19,https://www.sec.gov/Archives/edgar/data/354963/0001171843-19-001565.txt
SHENANDOAH TELECOMMUN CO,9664,2019,82312B10,NAS,SHEN,31-Dec-19,12,354963,31-Dec-19,DEF 14A,2/28/20,https://www.sec.gov/Archives/edgar/data/354963/0001171843-20-001352.txt
GENTEX CORP,5116,2017,37190110,NAS,GNTX,31-Dec-17,12,355811,31-Dec-17,DEF 14A,04/03/18,https://www.sec.gov/Archives/edgar/data/355811/0000355811-18-000013.txt
GENTEX CORP,5116,2018,37190110,NAS,GNTX,31-Dec-18,12,355811,31-Dec-18,DEF 14A,04/02/19,https://www.sec.gov/Archives/edgar/data/355811/0000355811-19-000012.txt
GENTEX CORP,5116,2019,37190110,NAS,GNTX,31-Dec-19,12,355811,31-Dec-19,DEF 14A,04/06/20,https://www.sec.gov/Archives/edgar/data/355811/0000355811-20-000012.txt
ESSENDANT INC,10981,2017,29668910,NAS,ESND,31-Dec-17,12,355999,31-Dec-17,DEF 14A,4/13/18,https://www.sec.gov/Archives/edgar/data/355999/0001193125-18-116242.txt
CA INC,3310,2017,12673P10,NAS,CA,31-Mar-18,3,356028,31-Mar-17,DEF 14A,6/22/17,https://www.sec.gov/Archives/edgar/data/356028/0001308179-17-000200.txt
NEW JERSEY RESOURCES CORP,7849,2017,64602510,NYS,NJR,30-Sep-17,9,356309,30-Sep-17,DEF 14A,12/14/17,https://www.sec.gov/Archives/edgar/data/356309/0001308179-17-000248.txt
NEW JERSEY RESOURCES CORP,7849,2018,64602510,NYS,NJR,30-Sep-18,9,356309,30-Sep-18,DEF 14A,12/13/18,https://www.sec.gov/Archives/edgar/data/356309/0001308179-18-000282.txt
NEW JERSEY RESOURCES CORP,7849,2019,64602510,NYS,NJR,30-Sep-19,9,356309,30-Sep-19,DEF 14A,12/12/19,https://www.sec.gov/Archives/edgar/data/356309/0001308179-19-000249.txt
NEW JERSEY RESOURCES CORP,7849,2020,64602510,NYS,NJR,30-Sep-20,9,356309,30-Sep-20,DEF 14A,12/11/20,https://www.sec.gov/Archives/edgar/data/356309/0001308179-20-000284.txt
HOVNANIAN ENTRPRS INC  -CL A,5750,2017,44248740,NYS,HOV,31-Oct-17,10,357294,31-Oct-17,DEF 14A,1/26/18,https://www.sec.gov/Archives/edgar/data/357294/0001437749-18-001219.txt
HOVNANIAN ENTRPRS INC  -CL A,5750,2018,44248740,NYS,HOV,31-Oct-18,10,357294,31-Oct-18,DEF 14A,02/04/19,https://www.sec.gov/Archives/edgar/data/357294/0001437749-19-001731.txt
HOVNANIAN ENTRPRS INC  -CL A,5750,2019,44248740,NYS,HOV,31-Oct-19,10,357294,31-Oct-19,DEF 14A,02/07/20,https://www.sec.gov/Archives/edgar/data/357294/0001437749-20-002046.txt
TRUSTCO BANK CORP/NY,17245,2017,89834910,NAS,TRST,31-Dec-17,12,357301,31-Dec-17,DEF 14A,04/02/18,https://www.sec.gov/Archives/edgar/data/357301/0001193125-18-104908.txt
TRUSTCO BANK CORP/NY,17245,2018,89834910,NAS,TRST,31-Dec-18,12,357301,31-Dec-18,DEF 14A,04/01/19,https://www.sec.gov/Archives/edgar/data/357301/0001193125-19-094644.txt
TRUSTCO BANK CORP/NY,17245,2019,89834910,NAS,TRST,31-Dec-19,12,357301,31-Dec-19,DEF 14A,04/03/20,https://www.sec.gov/Archives/edgar/data/357301/0001140361-20-007962.txt
FULTON FINANCIAL CORP,14172,2017,36027110,NAS,FULT,31-Dec-17,12,700564,31-Dec-17,DEF 14A,04/03/18,https://www.sec.gov/Archives/edgar/data/700564/0001206774-18-001069.txt
FULTON FINANCIAL CORP,14172,2018,36027110,NAS,FULT,31-Dec-18,12,700564,31-Dec-18,DEF 14A,04/02/19,https://www.sec.gov/Archives/edgar/data/700564/0001206774-19-001193.txt
FULTON FINANCIAL CORP,14172,2019,36027110,NAS,FULT,31-Dec-19,12,700564,31-Dec-19,DEF 14A,04/02/20,https://www.sec.gov/Archives/edgar/data/700564/0001206774-20-001033.txt
MYR GROUP INC,180646,2017,55405W10,NAS,MYRG,31-Dec-17,12,700923,31-Dec-17,DEF 14A,03/08/18,https://www.sec.gov/Archives/edgar/data/700923/0001571049-18-000164.txt
MYR GROUP INC,180646,2018,55405W10,NAS,MYRG,31-Dec-18,12,700923,31-Dec-18,DEF 14A,03/07/19,https://www.sec.gov/Archives/edgar/data/700923/0001144204-19-012783.txt
MYR GROUP INC,180646,2019,55405W10,NAS,MYRG,31-Dec-19,12,700923,31-Dec-19,DEF 14A,03/05/20,https://www.sec.gov/Archives/edgar/data/700923/0001104659-20-029697.txt
CENTRAL PACIFIC FINANCIAL CP,16705,2017,15476040,NYS,CPF,31-Dec-17,12,701347,31-Dec-17,DEF 14A,03/12/18,https://www.sec.gov/Archives/edgar/data/701347/0001140361-18-013034.txt
